Data:  2015/11/24
Czas:  2:37:4


liczba pomiarow=1167
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
15.081,2.060,2.273,-0.010,0.000,0.001,0.000,0.001,
15.075,2.096,1.903,-0.010,0.000,0.001,0.000,0.000,
15.582,2.136,2.035,-0.011,0.001,0.001,0.000,0.001,
16.197,2.243,2.604,-0.011,0.001,0.001,0.000,0.000,
16.462,2.265,2.327,-0.010,0.000,0.001,0.000,0.001,
16.376,2.266,2.027,-0.011,0.001,0.001,0.000,0.000,
16.374,2.274,1.990,-0.011,0.000,0.001,0.000,0.001,
16.484,2.286,2.080,-0.011,0.000,0.001,0.000,0.001,
17.015,2.352,2.511,-0.012,0.001,0.002,0.000,0.002,
16.452,2.374,2.492,-0.012,0.001,0.002,0.000,0.001,
16.013,2.274,2.470,-0.011,0.001,0.002,0.000,0.002,
15.758,2.323,2.166,-0.011,0.001,0.002,0.000,0.002,
15.547,2.324,2.385,-0.011,0.001,0.002,0.000,0.001,
15.736,2.334,2.579,-0.012,0.001,0.002,0.000,0.002,
15.825,2.321,2.664,-0.011,0.001,0.002,0.000,0.001,
16.658,2.308,2.374,-0.012,0.001,0.002,0.000,0.001,
16.262,2.331,2.326,-0.011,0.001,0.002,0.000,0.002,
16.185,2.308,2.066,-0.011,0.000,0.002,0.000,0.002,
16.457,2.311,2.427,-0.012,0.001,0.002,0.000,0.001,
16.819,2.312,2.301,-0.012,0.001,0.002,0.000,0.001,
17.921,2.439,2.495,-0.012,0.001,0.002,0.000,0.002,
18.864,2.559,2.607,-0.013,0.001,0.002,0.000,0.002,
18.932,2.606,2.676,-0.013,0.001,0.003,0.000,0.002,
19.099,2.645,2.581,-0.013,0.001,0.003,0.000,0.002,
19.170,2.641,2.894,-0.013,0.001,0.003,0.000,0.002,
19.858,2.676,2.680,-0.014,0.001,0.003,0.000,0.003,
19.170,2.696,2.894,-0.014,0.001,0.003,0.000,0.003,
18.544,2.718,2.459,-0.014,0.003,0.003,0.000,0.002,
18.337,2.717,2.424,-0.014,0.005,0.003,0.000,0.001,
18.497,2.672,2.714,-0.013,0.005,0.003,0.000,0.002,
18.453,2.669,2.843,-0.014,0.006,0.003,0.000,0.002,
18.754,2.701,2.579,-0.014,0.005,0.003,0.000,0.002,
18.651,2.664,2.793,-0.014,0.005,0.003,0.000,0.002,
18.870,2.677,2.852,-0.014,0.005,0.003,0.000,0.002,
19.024,2.642,2.800,-0.014,0.006,0.003,0.000,0.002,
19.164,2.655,2.991,-0.014,0.006,0.003,0.000,0.002,
19.196,2.634,2.578,-0.014,0.005,0.003,0.000,0.003,
20.315,2.765,2.721,-0.015,0.005,0.003,0.000,0.002,
21.393,2.874,2.870,-0.015,0.005,0.004,0.000,0.002,
21.794,2.946,2.996,-0.015,0.005,0.004,0.000,0.003,
21.826,2.964,3.155,-0.016,0.006,0.004,0.000,0.003,
21.922,2.997,2.890,-0.016,0.005,0.004,0.000,0.003,
22.319,3.013,3.246,-0.016,0.005,0.004,0.000,0.003,
23.208,3.134,3.201,-0.016,0.006,0.004,0.000,0.003,
23.451,3.139,3.417,-0.016,0.006,0.004,0.000,0.003,
23.448,3.176,3.121,-0.017,0.006,0.004,0.000,0.003,
23.440,3.181,3.277,-0.017,0.006,0.005,0.000,0.003,
23.688,3.171,3.230,-0.018,0.006,0.004,0.000,0.003,
