Data:  2015/11/24
Czas:  2:19:42


liczba pomiarow=1166
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
13.356,2.563,2.697,-0.024,0.002,0.007,0.005,0.008,
13.519,2.597,2.695,-0.024,0.002,0.007,0.007,0.012,
13.545,2.615,2.718,-0.024,0.002,0.007,0.007,0.009,
13.617,2.625,2.715,-0.024,0.002,0.007,0.007,0.011,
13.786,2.638,2.755,-0.024,0.002,0.007,0.007,0.010,
14.052,2.677,2.774,-0.024,0.002,0.007,0.007,0.009,
14.123,2.706,2.554,-0.025,0.002,0.007,0.007,0.011,
13.302,2.681,2.890,-0.024,0.002,0.007,0.007,0.009,
13.152,2.717,2.890,-0.025,0.002,0.007,0.007,0.009,
13.228,2.659,2.734,-0.023,0.002,0.007,0.007,0.011,
13.077,2.632,2.719,-0.024,0.002,0.008,0.007,0.010,
12.894,2.701,2.813,-0.025,0.002,0.007,0.007,0.009,
13.481,2.705,2.711,-0.024,0.002,0.007,0.007,0.009,
13.727,2.661,2.922,-0.024,0.002,0.007,0.007,0.010,
13.330,2.720,2.464,-0.025,0.002,0.007,0.007,0.010,
13.469,2.681,2.872,-0.025,0.002,0.008,0.007,0.009,
13.472,2.674,3.064,-0.025,0.002,0.007,0.007,0.011,
14.233,2.762,2.619,-0.025,0.002,0.007,0.007,0.009,
15.902,2.819,3.043,-0.026,0.002,0.008,0.007,0.011,
16.063,2.908,2.814,-0.026,0.002,0.009,0.007,0.010,
16.010,2.952,3.095,-0.027,0.002,0.009,0.007,0.011,
15.998,3.005,3.135,-0.027,0.002,0.009,0.007,0.010,
16.594,3.006,2.416,-0.027,0.002,0.009,0.007,0.008,
16.698,3.061,3.127,-0.027,0.002,0.009,0.007,0.009,
16.418,2.975,3.055,-0.027,0.002,0.009,0.007,0.011,
15.801,3.054,3.134,-0.026,0.002,0.009,0.007,0.009,
15.770,3.058,2.760,-0.027,0.002,0.009,0.007,0.009,
15.716,3.030,2.977,-0.027,0.002,0.009,0.007,0.011,
15.730,3.016,2.699,-0.027,0.002,0.009,0.007,0.010,
16.283,3.052,2.832,-0.027,0.002,0.009,0.007,0.009,
16.025,3.062,2.924,-0.028,0.002,0.009,0.007,0.010,
16.424,3.017,3.180,-0.028,0.002,0.009,0.007,0.011,
16.288,2.982,3.166,-0.028,0.002,0.009,0.007,0.010,
16.526,2.969,2.928,-0.028,0.002,0.009,0.007,0.010,
16.647,3.017,3.218,-0.027,0.002,0.009,0.007,0.009,
17.740,3.138,2.937,-0.029,0.002,0.009,0.007,0.010,
18.493,3.267,3.088,-0.030,0.003,0.009,0.007,0.010,
18.743,3.309,3.259,-0.030,0.003,0.010,0.008,0.011,
18.754,3.306,3.256,-0.030,0.003,0.010,0.009,0.012,
18.837,3.314,3.385,-0.029,0.003,0.010,0.009,0.011,
19.185,3.348,3.231,-0.030,0.003,0.010,0.009,0.012,
19.671,3.428,3.495,-0.030,0.003,0.010,0.009,0.010,
19.884,3.442,3.384,-0.030,0.003,0.010,0.009,0.011,
20.134,3.444,3.506,-0.031,0.003,0.010,0.009,0.011,
19.810,3.479,3.604,-0.031,0.003,0.010,0.009,0.012,
20.198,3.472,3.599,-0.031,0.003,0.010,0.009,0.011,
20.359,3.503,3.257,-0.032,0.003,0.010,0.009,0.013,
20.697,3.572,3.713,-0.032,0.003,0.010,0.009,0.012,
20.448,3.550,3.814,-0.031,0.003,0.010,0.009,0.012,
20.718,3.550,3.333,-0.032,0.003,0.010,0.009,0.012,
21.735,3.689,3.509,-0.033,0.003,0.011,0.010,0.014,
23.796,3.905,3.827,-0.033,0.003,0.012,0.011,0.015,
24.480,3.971,4.270,-0.035,0.003,0.012,0.011,0.013,
24.955,4.073,4.018,-0.036,0.003,0.012,0.011,0.013,
25.752,4.196,4.253,-0.036,0.003,0.013,0.012,0.013,
26.562,4.322,4.159,-0.037,0.003,0.013,0.013,0.015,
26.611,4.300,4.139,-0.038,0.003,0.013,0.013,0.014,
27.323,4.338,4.114,-0.038,0.003,0.013,0.013,0.013,
28.515,4.524,4.461,-0.039,0.003,0.014,0.014,0.015,
29.962,4.694,4.829,-0.040,0.004,0.015,0.015,0.015,
30.756,4.861,4.932,-0.042,0.004,0.015,0.015,0.016,
31.258,4.889,5.024,-0.043,0.004,0.016,0.016,0.017,
31.299,4.870,5.072,-0.042,0.004,0.016,0.016,0.016,
32.827,5.051,4.888,-0.044,0.004,0.017,0.016,0.017,
33.712,5.190,5.185,-0.044,0.004,0.017,0.017,0.018,
33.950,5.329,5.608,-0.045,0.004,0.018,0.018,0.019,
34.625,5.293,5.363,-0.045,0.004,0.018,0.018,0.018,
35.863,5.426,5.422,-0.047,0.004,0.019,0.018,0.020,
37.037,5.580,5.785,-0.048,0.004,0.020,0.019,0.020,
38.604,5.769,5.829,-0.051,0.005,0.020,0.020,0.019,
38.324,5.823,5.993,-0.049,0.005,0.021,0.021,0.021,
